"(0.03158211708068848,","-0.14,","-0.27,","9.540000000000001,",32.02331335813199)
"(0.06641769409179688,","-0.14,","-0.28,","9.540000000000001,",31.80461237795774)
"(0.09861254692077637,","-0.14,","-0.3,","9.55,",32.219293412233284)
"(0.1307523250579834,","-0.14,","-0.3,","9.53,",31.980526983339008)
"(0.16409730911254883,","-0.13,","-0.29,","9.53,",32.23393114099583)
"(0.19710493087768555,","-0.14,","-0.27,","9.55,",32.13811924036225)
"(0.2293989658355713,","-0.15,","-0.28,","9.58,",32.20530483926157)
"(0.260861873626709,","-0.15,","-0.31,","9.55,",31.96988161770776)
"(0.29396772384643555,","-0.15,","-0.29,","9.57,",32.41218811915491)
"(0.3275322914123535,","-0.14,","-0.27,","9.52,",32.2014896858123)
"(0.3597984313964844,","-0.14,","-0.3,","9.56,",32.24712860237324)
"(0.3927280902862549,","-0.16,","-0.3,","9.540000000000001,",32.24610300976451)
"(0.4263577461242676,","-0.17,","-0.29,","9.540000000000001,",32.29209245528698)
"(0.4589047431945801,","-0.15,","-0.28,","9.5,",32.31576803352867)
"(0.4909656047821045,","-0.16,","-0.33,","9.56,",32.17507551583863)
"(0.5239794254302979,","-0.13,","-0.3,","9.540000000000001,",32.17473567916047)
"(0.5577483177185059,","-0.14,","-0.29,","9.540000000000001,",32.40775426870143)
"(0.5902960300445557,","-0.14,","-0.29,","9.56,",32.36074429566899)
"(0.6226038932800293,","-0.14,","-0.28,","9.540000000000001,",32.38340608156815)
"(0.655672550201416,","-0.14,","-0.29,","9.51,",32.43075271015759)
"(0.6882383823394775,","-0.16,","-0.29,","9.540000000000001,",32.1727066125)
"(0.7209272384643555,","-0.13,","-0.28,","9.540000000000001,",32.40640612236063)
"(0.7530710697174072,","-0.12,","-0.31,","9.57,",32.54676171429499)
"(0.7842869758605957,","-0.13,","-0.32,","9.56,",32.28972422822228)
"(0.8173179626464844,","-0.14,","-0.28,","9.5,",32.242043296980576)
"(0.8507037162780762,","-0.17,","-0.28,","9.55,",32.195034957138006)
"(0.8831665515899658,","-0.15,","-0.3,","9.52,",32.47541076324136)
"(0.9158473014831543,","-0.13,","-0.3,","9.51,",32.21870683004024)
"(0.9492542743682861,","-0.13,","-0.31,","9.56,",32.2423789995176)
"(0.9821100234985352,","-0.12,","-0.29,","9.56,",32.31138370449476)
"(1.0141496658325195,","-0.15,","-0.29,","9.55,",32.452073787774786)
"(1.0468575954437256,","-0.16,","-0.26,","9.55,",32.31171811671109)
"(1.0802814960479736,","-0.15,","-0.3,","9.53,",32.42806870602122)
"(1.1130952835083008,","-0.12,","-0.32,","9.540000000000001,",32.31138370449476)
"(1.1451683044433594,","-0.13,","-0.27,","9.540000000000001,",32.21770222389696)
"(1.1782329082489014,","-0.16,","-0.26,","9.55,",32.498080317185305)
"(1.2117276191711426,","-0.15,","-0.28,","9.57,",32.40539998940394)
"(1.2446794509887695,","-0.15,","-0.3,","9.540000000000001,",32.45173958633881)
"(1.276010274887085,","-0.14,","-0.28,","9.55,",32.405065559714814)
"(1.3091824054718018,","-0.12,","-0.3,","9.53,",32.4284025475973)
"(1.342310905456543,","-0.16,","-0.28,","9.55,",32.544754978905075)
"(1.374866008758545,","-0.13,","-0.28,","9.53,",32.31104976626244)
"(1.4070158004760742,","-0.13,","-0.29,","9.540000000000001,",32.40439812228368)
"(1.4393227100372314,","-0.14,","-0.29,","9.57,",32.47374506655659)
"(1.4730725288391113,","-0.12,","-0.31,","9.52,",32.45073982593986)
"(1.505547285079956,","-0.16,","-0.26,","9.56,",32.42740244481126)
"(1.5376670360565186,","-0.15,","-0.28,","9.53,",32.45073982593986)
"(1.5708236694335938,","-0.13,","-0.29,","9.53,",32.33405342885257)
"(1.6043567657470703,","-0.16,","-0.27,","9.57,",32.21636938467438)
"(1.636627435684204,","-0.16,","-0.3,","9.55,",32.33372055270255)
"(1.6687252521514893,","-0.15,","-0.3,","9.52,",32.12368721461498)
"(1.7018401622772217,","-0.15,","-0.28,","9.57,",32.52042031135713)
"(1.7356078624725342,","-0.15,","-0.3,","9.52,",32.17036093376796)
"(1.768028736114502,","-0.14,","-0.28,","9.55,",32.24037189390315)
"(1.7993085384368896,","-0.12,","-0.3,","9.53,",32.33405342885257)
"(1.8323695659637451,","-0.16,","-0.29,","9.540000000000001,",32.380063013316445)
"(1.865964412689209,","-0.15,","-0.28,","9.58,",32.35672555649698)
"(1.8986680507659912,","-0.15,","-0.27,","9.540000000000001,",32.19336478268046)
"(1.9313549995422363,","-0.16,","-0.27,","9.56,",32.379731313387595)
"(1.964521884918213,","-0.12,","-0.3,","9.53,",32.33372055270255)
"(1.9949734210968018,","-0.13,","-0.27,","9.56,",32.52042031135713)
"(2.0279345512390137,","-0.14,","-0.29,","9.53,",32.23904330299502)
"(2.060077428817749,","-0.15,","-0.32,","9.53,",32.47275133636272)
"(2.092388153076172,","-0.15,","-0.31,","9.58,",32.30905609037536)
"(2.1260430812835693,","-0.13,","-0.28,","9.53,",32.19236836568519)
"(2.1587109565734863,","-0.15,","-0.3,","9.53,",32.45040752043993)
"(2.1908135414123535,","-0.13,","-0.27,","9.540000000000001,",32.239706650498285)
"(2.223818302154541,","-0.15,","-0.31,","9.5,",32.28571844372617)
"(2.2570910453796387,","-0.15,","-0.29,","9.55,",32.35672555649698)
"(2.291384220123291,","-0.15,","-0.27,","9.51,",32.23937473975957)
"(2.323913812637329,","-0.17,","-0.31,","9.540000000000001,",32.12335378529259)
"(2.3572006225585938,","-0.15,","-0.29,","9.58,",32.262712170566594)
"(2.3901185989379883,","-0.13,","-0.28,","9.55,",32.192700030712714)
"(2.422236442565918,","-0.16,","-0.29,","9.53,",32.35672555649698)
"(2.455508232116699,","-0.17,","-0.28,","9.58,",32.40306893519511)
"(2.4888200759887695,","-0.14,","-0.29,","9.52,",32.47275133636272)
"(2.521221876144409,","-0.15,","-0.3,","9.52,",32.40340052099492)
"(2.553408622741699,","-0.15,","-0.31,","9.540000000000001,",32.54276530706747)
"(2.5865285396575928,","-0.14,","-0.3,","9.53,",32.40240718554751)
"(2.619920492172241,","-0.15,","-0.3,","9.56,",32.449744331392104)
"(2.654604196548462,","-0.16,","-0.29,","9.55,",32.332393787883554)
"(2.687688112258911,","-0.15,","-0.29,","9.53,",32.14602552508718)
"(2.7210118770599365,","-0.13,","-0.29,","9.540000000000001,",32.40306893519511)
"(2.753492593765259,","-0.14,","-0.26,","9.55,",32.145693631801585)
"(2.7856884002685547,","-0.14,","-0.29,","9.56,",32.42707002518229)
"(2.8180792331695557,","-0.14,","-0.32,","9.53,",32.19203717463675)
"(2.8509702682495117,","-0.14,","-0.3,","9.56,",32.239706650498285)
"(2.8833868503570557,","-0.13,","-0.28,","9.53,",32.40240718554751)
"(2.9155237674713135,","-0.15,","-0.28,","9.540000000000001,",32.35639374243418)
"(2.9476497173309326,","-0.15,","-0.31,","9.58,",32.26171962459735)
"(2.9810683727264404,","-0.14,","-0.27,","9.53,",32.26238084793109)
"(3.012036085128784,","-0.14,","-0.29,","9.53,",32.58944154183075)
"(3.0445001125335693,","-0.14,","-0.29,","9.540000000000001,",32.51909719881971)
"(3.076889991760254,","-0.16,","-0.3,","9.52,",32.449083038280314)
"(3.109747886657715,","-0.16,","-0.28,","9.55,",32.332063281629)
"(3.1436214447021484,","-0.14,","-0.28,","9.53,",32.332393787883554)
"(3.175967216491699,","-0.15,","-0.31,","9.55,",32.262712170566594)
"(3.2079412937164307,","-0.13,","-0.29,","9.56,",32.61212098828415)
"(3.2409942150115967,","-0.15,","-0.3,","9.51,",32.42574508648686)
"(3.2743587493896484,","-0.16,","-0.31,","9.57,",32.26171962459735)
"(3.305713653564453,","-0.14,","-0.27,","9.53,",32.448753102700444)
"(3.3377416133880615,","-0.13,","-0.29,","9.540000000000001,",32.16836883693065)
"(3.3708133697509766,","-0.16,","-0.29,","9.56,",32.21504412904842)
